ipa,approx,cons,son,syll,constr,spread,voice,long,cont_acoust,cont_artic,delrel,lat,nas,strid,tap,trill,coronal,dorsal,labial,labiodental,ant,dist,back,front,high,low,tense,round,str_cmu,str_sampa,f0,f1
p,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,,False,P,p,,
m,False,True,True,False,False,False,True,,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,,False,False,,False,M,m,,
pʰ,False,True,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,,False,,pf,,
t,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,False,,False,T,t,,
b,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,,False,B,b,,
d,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,False,,False,D,d,,
k,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,True,False,,False,K,k,,
d̪,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
t̪,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
n,False,True,True,False,False,False,True,,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,,False,False,,False,N,n,,
ɳ,False,True,True,False,False,False,True,,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,False,False,,False,,,,
ɲ,False,True,True,False,False,False,True,,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,,True,False,,False,,J,,
g,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,True,False,,False,G,g,,
f,False,True,False,False,False,False,False,,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,,False,False,,False,F,f,,
v,False,True,False,False,False,False,True,,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,,False,False,,False,V,v,,
ʃ,False,True,False,False,False,False,False,,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,,False,False,,False,SH,S,,
s,False,True,False,False,False,False,False,,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,,False,False,,False,S,s,,
z,False,True,False,False,False,False,True,,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,,False,False,,False,Z,z,,
ʒ,False,True,False,False,False,False,True,,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,,False,False,,False,ZH,Z,,
j,True,False,True,False,False,False,True,,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,,True,False,,False,Y,j,,
ɦ,False,True,False,False,False,True,True,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,,h\,,
h,False,True,False,False,False,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,HH,h,,
q,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,False,False,,False,,q,,
ɸ,False,True,False,False,False,False,False,,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,,False,,,,
ʀ,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,,False,False,,False,,R,,
ʁ,False,True,False,False,False,False,True,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,,False,False,,False,,,,
ɣ,False,True,False,False,False,False,True,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,,True,False,,False,,,,
ɬ,False,True,False,False,False,False,False,,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,,False,False,,False,,,,
ɮ,False,True,False,False,False,False,True,,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,,False,False,,False,,,,
x,False,True,False,False,False,False,False,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,,True,False,,False,,x,,
ʤ,False,True,False,False,False,False,True,,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,,False,False,,False,JH,dZ,,
ʧ,False,True,False,False,False,False,False,,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,,False,False,,False,CH,tS,,
ð,False,True,False,False,False,False,True,,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,DH,D,,
θ,False,True,False,False,False,False,False,,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,TH,T,,
β,False,True,False,False,False,False,True,,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,,False,,B,,
ç,False,True,False,False,False,False,False,,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,,True,False,,False,,C,,
ʂ,False,True,False,False,False,False,False,,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,,False,False,,False,,,,
ʐ,False,True,False,False,False,False,True,,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,,False,False,,False,,,,
l,True,True,True,False,False,False,True,,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,,False,False,,False,L,l,,
r,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,,False,False,,False,R,,,
ɾ,True,True,True,False,False,False,True,,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,,False,False,,False,,4,,
ɥ,True,False,True,False,False,False,True,,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,,True,False,,True,,H,,
ʔ,False,True,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,,,,
ŋ,False,True,True,False,False,False,True,,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,,True,False,,False,NG,N,,
ɻ,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,False,,False,,r\`,,
ħ,False,True,False,False,False,False,False,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,,False,True,,False,,,,
χ,False,True,False,False,False,False,False,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,,False,False,,False,,,,
n̪,False,True,True,False,False,False,True,,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
kʰ,False,True,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,True,False,,False,,,,
tʰ,False,True,False,False,False,True,False,,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,False,,False,,,,
ʈ,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,,,,
ʈʰ,False,True,False,False,False,True,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,,,,
ɖ,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,,,,
ɖʰ,False,True,False,False,False,True,True,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,,,,
ʝ,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,,True,False,,False,,jj,,
kʷ,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,,True,False,,True,,,,
gʷ,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,,True,False,,True,,,,
ɢ,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,False,False,,False,,,,
kʲ,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,True,False,,False,,,,
gʲ,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,True,False,,False,,,,
ɱ,False,True,True,False,False,False,True,,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,,False,False,,False,,F,,
ʋ,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,,False,False,,False,,,,
c,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,,True,False,,False,,c,,
n̥,False,True,True,False,False,False,False,,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,,False,False,,False,,,,
m̥,False,True,True,False,False,False,False,,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,,False,False,,False,,,,
pʷ,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,,True,,,,
bʷ,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,,True,,,,
ɬ̪,False,True,False,False,False,False,False,,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
ɮ̪,False,True,False,False,False,False,True,,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
r̪,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,True,True,False,False,False,True,True,False,,False,False,,False,,,,
ɾ̪,True,True,True,False,False,False,True,,True,True,False,False,False,False,True,False,True,False,False,False,True,True,False,,False,False,,False,,,,
ɹ̪,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
w̃,True,True,True,False,False,False,True,,True,True,False,False,True,False,False,False,False,True,True,False,True,False,True,,True,False,,True,,,,
cʰ,False,True,False,False,False,True,False,,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,,True,False,,False,,,,
t̪ʰ,False,True,False,False,False,True,False,,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
s̪,False,True,False,False,False,False,False,,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
l̪,True,True,True,False,False,False,True,,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,,False,False,,False,,,,
ʟ,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,,True,True,,False,,,,
ɭ,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,,,,
ʎ,True,True,True,False,False,False,True,,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,,True,False,,False,,L,,
ʦ,False,True,False,False,False,False,False,,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,,False,False,,False,,ts,,
ʣ,False,True,False,False,False,False,True,,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,,False,False,,False,,,,
ɽ,True,True,True,False,False,False,True,,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,,False,False,,False,,r=,,
o,,False,True,True,,,,False,,,,,False,,,,,,,,,,True,False,False,False,True,True,,o,0.203252032520325,0.024930747922438
ɔ,,False,True,True,,,,False,,,,,False,,,,,,,,,,True,False,False,False,False,True,,O,0.430894308943089,0.058171745152355
ɐ,,False,True,False,,,,False,,,,,False,,,,,,,,,,False,False,False,True,True,False,,6,,
w,,False,True,False,,,,False,,,,,False,,,,,,,,,,False,False,False,False,False,False,W,w,,
ɤ,,False,True,True,,,,False,,,,,False,,,,,,,,,,True,False,False,False,True,False,,7,0.365853658536585,0.39612188365651
ɨ,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,False,True,False,True,False,,1,,
ə,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,False,False,False,False,False,AH,@,,
i,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,True,True,False,True,False,,i,0.008130081300813,1
iː,,False,True,True,,,,True,,,,,False,,,,,,,,,,False,True,True,False,True,False,IY,,,
y,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,True,True,False,True,True,,y,0,0.833795013850415
yː,,False,True,True,,,,True,,,,,False,,,,,,,,,,False,True,True,False,True,True,,,,
ɪ,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,True,True,False,False,False,IH,,,
ɪː,,False,True,True,,,,True,,,,,False,,,,,,,,,,False,True,True,False,False,False,,,,
ʏ,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,True,True,False,False,True,,Y,,
ʏː,,False,True,True,,,,True,,,,,False,,,,,,,,,,False,True,True,False,False,True,,,,
e,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,True,False,False,True,False,,e,0.252032520325203,0.944598337950138
eː,,False,True,True,,,,True,,,,,False,,,,,,,,,,False,True,False,False,True,False,,,,
ø,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,True,False,False,True,True,,2,0.219512195121951,0.722991689750693
øː,,False,True,True,,,,True,,,,,False,,,,,,,,,,False,True,False,False,True,True,,,,
ɛ,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,True,False,False,False,False,EH,E,0.609756097560976,0.722991689750693
ɛː,,False,True,True,,,,True,,,,,False,,,,,,,,,,False,True,False,False,False,False,ER,,,
œ,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,True,False,False,False,True,,9,0.569105691056911,0.617728531855956
œː,,False,True,True,,,,True,,,,,False,,,,,,,,,,False,True,False,False,False,True,,,,
æ,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,True,False,True,True,False,AE,{,,
æː,,False,True,True,,,,True,,,,,False,,,,,,,,,,False,True,False,True,True,False,,,,
ɶ,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,True,False,True,False,True,,&,0.951219512195122,0.518005540166205
ʉ,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,False,True,False,True,True,,},,
ʉː,,False,True,True,,,,True,,,,,False,,,,,,,,,,False,False,True,False,True,True,,,,
a,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,False,False,True,False,False,,a,1,0.562326869806094
aː,,False,True,True,,,,True,,,,,False,,,,,,,,,,False,False,False,True,False,False,,,,
ɯ,,False,True,True,,,,False,,,,,False,,,,,,,,,,True,False,True,False,True,False,,M,0.105691056910569,0.440443213296399
ɯː,,False,True,True,,,,True,,,,,False,,,,,,,,,,True,False,True,False,True,False,,,,
u,,False,True,True,,,,False,,,,,False,,,,,,,,,,True,False,True,False,True,True,,u,0.024390243902439,0
uː,,False,True,True,,,,True,,,,,False,,,,,,,,,,True,False,True,False,True,True,UW,,,
ʊ,,False,True,True,,,,False,,,,,False,,,,,,,,,,True,False,True,False,False,True,UH,U,,
ʊː,,False,True,True,,,,True,,,,,False,,,,,,,,,,True,False,True,False,False,True,,,,
oː,,False,True,True,,,,True,,,,,False,,,,,,,,,,True,False,False,False,True,True,,,,
ʌ,,False,True,True,,,,False,,,,,False,,,,,,,,,,True,False,False,False,False,False,AH,V,0.59349593495935,0.318559556786704
ʌː,,False,True,True,,,,True,,,,,False,,,,,,,,,,True,False,False,False,False,False,,,,
ɔː,,False,True,True,,,,True,,,,,False,,,,,,,,,,True,False,False,False,False,True,AO,,,
ɑ,,False,True,True,,,,False,,,,,False,,,,,,,,,,True,False,False,True,False,False,AA,A,0.83739837398374,0.191135734072022
ɑː,,False,True,True,,,,True,,,,,False,,,,,,,,,,True,False,False,True,False,False,,,,
ɒ,,False,True,True,,,,False,,,,,False,,,,,,,,,,True,False,False,True,False,True,,Q,0.75609756097561,0.091412742382272
ɒː,,False,True,True,,,,True,,,,,False,,,,,,,,,,True,False,False,True,False,True,,,,
œ̃,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,True,False,False,False,True,,,,
ɵ,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,False,False,False,False,True,,8,,
ʉ̞,,False,True,True,,,,False,,,,,False,,,,,,,,,,False,True,True,False,True,True,,,,
ẽ,,False,True,True,,,,True,,,,,True,,,,,,,,,,False,True,False,False,True,False,,,,
ɛ̃,,False,True,True,,,,False,,,,,True,,,,,,,,,,False,True,False,False,False,False,,,,
ɔ̃,,False,True,True,,,,False,,,,,True,,,,,,,,,,True,False,False,False,False,True,,,,
ɑ̃,,False,True,True,,,,False,,,,,True,,,,,,,,,,True,False,False,True,False,False,,,,
ɑ̃ː,,False,True,True,,,,False,,,,,True,,,,,,,,,,True,False,False,True,False,False,,,,
ã,,False,True,True,,,,False,,,,,True,,,,,,,,,,False,False,False,True,False,,,,,
